id,client_id,card_brand,card_type,card_number,expires,cvv,has_chip,num_cards_issued,credit_limit,acct_open_date,year_pin_last_changed,card_on_dark_web
5701,1946,Visa,Credit,4231526239204033,43862,499,Yes,2,12500,41944,2014,No
4510,1674,Mastercard,Debit,5813611925507601,44166,734,Yes,2,23432,37135,2008,No
2873,1674,Amex,Credit,366520954874839,44682,447,Yes,2,8800,38473,2011,No
1461,482,Mastercard,Credit,5392697458480962,43862,886,Yes,2,12100,43862,2020,No
442,877,Mastercard,Debit,5048151330736425,43862,931,Yes,1,9708,43831,2020,No
3877,877,Amex,Credit,371643368691556,44501,683,Yes,2,12000,39995,2011,No
2296,877,Mastercard,Debit,5700734711260263,45231,230,Yes,1,11973,40969,2012,No
5048,128,Mastercard,Debit,5389442391430673,44593,658,Yes,2,13601,38991,2014,No
1462,128,Mastercard,Credit,5079116875907423,45292,849,Yes,2,7800,43862,2020,No
4269,775,Visa,Debit,4390425683290569,45200,790,Yes,2,17816,39661,2016,No
5188,1536,Mastercard,Debit,5217568630125704,44256,625,No,2,17707,40452,2010,No
2874,1536,Amex,Credit,397856635669220,44136,2,Yes,1,9500,38473,2009,No
3041,140,Mastercard,Debit,5529182104663869,44562,182,Yes,1,19110,40299,2011,No
5312,140,Mastercard,Debit,5489017664251289,45139,196,Yes,1,13428,42644,2016,No
4150,140,Mastercard,Debit,5793675314684781,44713,43,Yes,1,24608,38565,2009,No
152,140,Mastercard,Debit,5845373196638993,44805,111,Yes,1,13441,39448,2011,No
443,1884,Mastercard,Debit (Prepaid),5750288075891808,43862,788,Yes,2,74,43831,2020,No
3377,1874,Mastercard,Debit,5429789020188285,41183,674,Yes,1,17872,39600,2008,No
5789,1874,Mastercard,Credit,5301114615829913,44805,425,Yes,1,12900,37956,2010,No
2106,1874,Mastercard,Debit,5571104183564029,45413,52,Yes,2,25264,38777,2020,No
2078,1874,Mastercard,Debit,5401948301255038,44896,920,Yes,2,20634,38412,2007,No
5866,1310,Visa,Credit,4295364044956974,39173,656,Yes,2,12200,39052,2010,No
173,1310,Visa,Credit,4737484014371342,40210,221,Yes,2,5500,39448,2008,No
1771,1689,Visa,Credit,4509365132510769,43891,281,No,2,6600,43862,2020,No
6132,1689,Mastercard,Debit,5068255294282305,44136,890,Yes,1,25815,43070,2017,No
327,379,Amex,Credit,354813103334804,44348,527,Yes,2,8400,41640,2014,No
2019,379,Mastercard,Debit,5910929635230868,43862,525,Yes,1,21628,36951,2008,No
3881,379,Mastercard,Debit,5400182448188961,44470,412,Yes,1,24232,39995,2009,No
1166,34,Mastercard,Debit,5039048842448184,45231,339,Yes,2,10775,39845,2010,No
3342,34,Mastercard,Debit (Prepaid),5672012369002302,43862,598,Yes,2,105,39234,2013,No
5622,822,Visa,Credit,4336733185475861,44197,221,No,2,7100,40483,2010,No
5424,822,Mastercard,Debit,5985582173054292,45474,951,Yes,1,29351,38657,2007,No
2558,822,Mastercard,Debit,5281056728185174,43891,835,Yes,2,15125,39539,2012,No
5385,822,Mastercard,Credit,5615660494634705,44501,865,Yes,2,8000,37926,2008,No
5596,822,Mastercard,Debit (Prepaid),5314878099448745,40664,994,Yes,1,83,40483,2010,No
3991,1499,Amex,Credit,311095486859536,45292,536,Yes,2,23700,41091,2012,No
6126,1780,Visa,Credit,4624747592911129,45323,986,Yes,2,700,42705,2016,No
3756,1806,Mastercard,Debit,5595562388674401,45474,594,Yes,2,7488,38899,2016,No
971,811,Visa,Credit,4171022488649333,37257,225,No,1,24900,36192,2010,No
2079,811,Mastercard,Debit,5246337038556761,44348,638,Yes,2,30971,38412,2020,No
387,811,Amex,Credit,399966116933253,45292,343,Yes,1,24400,43831,2020,No
444,811,Mastercard,Debit,5064137987234665,43862,599,Yes,2,53549,43831,2020,No
5277,811,Visa,Debit,4905540969337037,43344,573,Yes,1,53036,41548,2013,No
4358,811,Mastercard,Debit,5703849820939467,45627,300,Yes,1,35750,40756,2011,No
2318,811,Visa,Debit,4055403312631050,44378,902,Yes,1,33375,41334,2013,No
6019,1844,Visa,Debit (Prepaid),4587476056357151,45108,858,Yes,2,22,40513,2010,No
4421,1844,Discover,Credit,6521426249819196,44136,608,Yes,1,13100,41852,2014,No
3702,1844,Visa,Debit,4199712815274632,45566,440,Yes,1,16516,37803,2011,No
2854,1844,Mastercard,Credit,5172743861765175,42552,906,Yes,1,15700,38108,2011,No
4114,1844,Mastercard,Debit,5214643602729093,45413,474,Yes,1,21058,37834,2007,No
28,1852,Visa,Debit,4013876625955765,45200,543,Yes,2,36425,37257,2004,No
6127,1852,Visa,Debit (Prepaid),4966050979388902,44256,585,Yes,2,91,42705,2016,No
2477,1852,Mastercard,Credit,5247576622089394,44440,379,Yes,1,13400,38443,2014,No
2632,1852,Mastercard,Credit,5911319900289832,44287,37,Yes,2,21600,40269,2010,No
1463,1231,Mastercard,Debit,5058769177189803,43862,12,No,1,9090,43862,2020,No
5679,970,Visa,Debit,4682877628388639,44958,846,No,1,25942,41214,2012,No
1012,970,Mastercard,Credit,5882842508952744,43647,614,Yes,2,10700,37653,2013,No
1464,970,Mastercard,Credit,5637149260486793,44743,630,Yes,2,4900,43862,2020,No
1465,381,Mastercard,Credit,5115700923413241,44652,587,No,1,18100,43862,2020,No
388,1134,Amex,Credit,324640473359364,45352,659,Yes,2,7200,43831,2020,No
3708,1296,Mastercard,Debit,5033428838471726,43862,546,Yes,2,22660,38169,2007,No
3087,1296,Discover,Credit,6969946254132652,44896,588,Yes,1,19800,40664,2011,No
67,1296,Mastercard,Credit,5181226307106931,45597,820,Yes,2,15500,38353,2014,No
80,1296,Visa,Debit (Prepaid),4310689470082080,45078,458,Yes,1,13,38353,2008,No
3665,1296,Mastercard,Debit,5051066154001741,44348,526,Yes,2,4317,37073,2011,No
2014,1880,Mastercard,Debit,5456915066505066,44531,553,No,1,14719,36586,2008,No
4906,1880,Mastercard,Debit,5132664334960880,44317,593,Yes,1,9532,42979,2017,No
3757,1880,Mastercard,Credit,5752873844240568,43891,486,Yes,1,10900,38899,2014,No
5365,322,Mastercard,Credit,5494228198326752,45536,428,Yes,2,6200,37196,2012,No
5425,322,Mastercard,Debit,5789639625525459,41244,43,Yes,2,2903,38657,2011,No
5758,322,Mastercard,Debit,5392957769023387,44105,803,Yes,2,4355,36495,2010,No
5482,461,Mastercard,Debit,5182820825620434,44287,126,Yes,1,28963,39387,2012,No
3172,461,Mastercard,Debit,5102353988152905,44896,667,Yes,2,20913,42491,2016,No
1209,461,Mastercard,Debit,5033135709911480,45474,170,Yes,1,23344,40210,2010,No
5313,461,Mastercard,Debit,5611522756791997,43831,882,Yes,2,33642,42644,2016,No
4762,1165,Mastercard,Debit,5037404409791945,44562,681,Yes,1,14695,40422,2011,No
126,1448,Mastercard,Credit,5571363047071896,45170,510,Yes,1,13200,39083,2015,No
4685,1448,Visa,Debit,4083033843851772,43831,173,Yes,1,29950,39692,2013,No
5907,1448,Visa,Credit,4829916759482899,45474,768,Yes,2,4600,39417,2011,No
2428,1288,Mastercard,Debit,5458492483408549,44896,92,Yes,1,10051,37347,2011,No
1013,1288,Mastercard,Debit,5879094230635425,42339,729,Yes,2,9796,37653,2013,No
5145,1178,Mastercard,Debit,5769435406360328,44470,957,Yes,1,17826,40087,2009,No
5854,1178,Mastercard,Debit,5588799529406913,45597,778,Yes,1,19086,39052,2009,No
5296,1178,Visa,Debit,4410685608952637,45444,265,Yes,2,17345,41913,2014,No
1327,1178,Visa,Debit,4470822684089911,44075,923,Yes,2,17976,41306,2013,No
383,1178,Visa,Debit,4804338444306727,44562,279,Yes,2,16447,43466,2019,No
5129,1391,Visa,Debit,4194362281636453,45566,271,Yes,2,29573,39722,2009,No
5995,1391,Mastercard,Debit (Prepaid),5436469451844829,44531,48,Yes,2,98,40513,2010,No
4107,1391,Mastercard,Debit,5648865641388293,43678,71,Yes,2,2559,37469,2012,No
36,1391,Mastercard,Debit,5914243757284149,41183,436,Yes,2,6552,37622,2010,No
445,838,Mastercard,Credit,5193780952753626,44197,591,Yes,2,13800,43831,2020,No
1466,54,Mastercard,Debit,5957925302951752,44044,746,Yes,1,16375,43862,2020,No
749,54,Visa,Debit,4557061225558443,45047,780,Yes,1,14213,43831,2020,No
1772,54,Visa,Debit (Prepaid),4883222888293069,44075,2,Yes,1,73,43862,2020,No
3801,1452,Mastercard,Debit,5476407228285230,44866,688,Yes,2,53466,39264,2013,No
282,1602,Visa,Credit,4698943729070491,44075,450,Yes,1,6600,40544,2013,No
6105,1602,Mastercard,Credit,5579147219556308,44713,806,No,2,7200,42339,2015,No
446,1938,Mastercard,Debit,5099614207935768,44136,856,Yes,1,2868,43831,2020,No
422,1938,Discover,Credit,6177503172021506,45413,97,Yes,1,3400,43831,2020,No
5231,1492,Mastercard,Debit,5188130978534931,44562,446,Yes,1,12915,40817,2013,No
2615,1492,Visa,Debit (Prepaid),4860320285002452,45261,366,Yes,2,84,39904,2017,No
2776,1492,Discover,Credit,6417599205270844,44378,504,Yes,2,17600,43191,2018,No
5452,1492,Mastercard,Debit,5516722949603675,41244,621,Yes,1,31542,39022,2009,No
3563,1492,Mastercard,Debit,5891053637541514,44593,362,Yes,2,23049,41426,2013,No
6134,1492,Visa,Debit,4222570131769035,43952,141,Yes,1,29734,43070,2017,No
4818,1492,Visa,Credit,4453742478192143,43831,346,Yes,2,27000,40787,2016,No
2171,1492,Mastercard,Debit (Prepaid),5335984658439104,44866,320,Yes,1,18,39508,2010,No
6106,688,Mastercard,Debit,5708150083756692,45017,824,Yes,1,17848,42339,2015,No
3042,688,Mastercard,Debit,5238684130320063,44866,870,No,1,25563,40299,2010,No
5209,688,Visa,Credit,4740880792169372,43922,168,Yes,2,12000,40452,2010,No
1296,688,Amex,Credit,361648729239104,43405,709,No,2,6600,40940,2012,No
389,749,Amex,Credit,363305614201313,45170,943,No,1,5600,43831,2020,No
1773,749,Visa,Debit,4360859456629853,44866,428,Yes,3,11873,43862,2020,No
1467,749,Mastercard,Credit,5498016831726771,43862,871,Yes,1,7200,43862,2020,No
1395,643,Amex,Credit,381572912003735,45505,145,Yes,1,10000,43862,2020,No
5597,643,Mastercard,Credit,5079302523329059,45017,381,Yes,2,500,40483,2010,No
1468,1219,Mastercard,Debit,5546998350637125,43862,718,Yes,1,22697,43862,2020,No
2309,1219,Mastercard,Credit,5326031764905960,45139,437,Yes,1,18000,41334,2013,No
3466,1219,Mastercard,Debit,5096150037217374,45566,862,Yes,1,32903,40330,2010,No
2804,1198,Visa,Debit,4489873116412364,44409,547,Yes,2,12764,36281,2010,No
1388,1198,Mastercard,Credit,5621725368325863,44835,60,Yes,1,6300,43497,2019,No
4660,898,Mastercard,Debit,5923138803280580,44593,934,Yes,2,7541,39692,2013,No
3356,898,Visa,Debit,4447989421793048,44621,995,Yes,2,1266,39234,2012,No
4870,898,Mastercard,Credit,5000307662634780,43922,263,No,1,9500,41883,2014,No
3467,882,Mastercard,Debit,5707305515533516,43922,203,Yes,2,1837,40330,2010,No
1079,882,Mastercard,Debit,5864987017850552,45139,258,Yes,2,17453,38749,2008,No
2977,348,Visa,Debit,4228885239928189,41548,543,No,1,28283,39569,2012,No
3073,348,Visa,Credit,4210237285941913,43922,160,Yes,1,13500,40299,2012,No
3554,348,Visa,Credit,4877073763902898,41821,786,Yes,2,13300,41061,2012,No
2597,633,Mastercard,Debit,5558040779986506,44440,69,Yes,2,17941,39904,2009,No
3489,1493,Visa,Credit,4642496218651973,43191,594,Yes,1,14400,40330,2012,No
4003,1493,Visa,Credit,4244401907291512,43922,120,Yes,1,4400,41091,2012,No
1469,1493,Mastercard,Credit,5157439545898691,43891,657,Yes,1,13000,43862,2020,No
1774,1493,Visa,Debit,4079516725179269,45017,72,Yes,2,22701,43862,2020,No
1470,1161,Mastercard,Credit,5597117503471640,45505,934,No,1,16100,43862,2020,No
1471,1161,Mastercard,Debit,5808372218918202,45170,138,Yes,2,7629,43862,2020,No
2691,217,Mastercard,Debit,5565497732362129,44621,430,No,1,16538,41000,2012,No
174,217,Visa,Debit,4072893581482208,44166,578,Yes,2,22746,39448,2010,No
1364,217,Mastercard,Debit,5161929618424764,42552,743,Yes,1,9737,42401,2016,No
1266,217,Mastercard,Credit,5359358098670039,43647,428,Yes,1,6500,40575,2014,No
1267,217,Mastercard,Debit,5093514487076217,43983,889,Yes,2,2650,40575,2013,No
207,217,Visa,Credit,4409790595650716,41030,839,Yes,2,8200,39814,2011,No
5448,217,Amex,Credit,373325875666765,44562,204,Yes,2,6200,39022,2013,No
5449,1877,Amex,Credit,366837170672753,44197,803,Yes,2,22600,39022,2014,No
2107,1877,Mastercard,Debit,5260255791659846,45413,428,Yes,2,6940,38777,2009,No
2398,1877,Mastercard,Debit,5911939393457828,45352,410,Yes,2,23408,35156,2008,No
5414,1877,Visa,Credit,4226284680001632,44805,966,Yes,2,9700,38292,2007,No
3758,668,Mastercard,Debit,5624997997810589,45444,992,No,2,10538,38899,2006,No
4097,668,Mastercard,Debit,5752209560237460,44986,385,Yes,2,6853,37104,2006,No
5778,668,Mastercard,Debit,5470018669871087,44105,598,Yes,2,607,37591,2010,No
4318,668,Mastercard,Credit,5764603958082866,44409,397,Yes,1,0,40391,2010,No
5015,668,Visa,Debit,4378354586828464,44348,644,Yes,2,8253,38261,2011,No
750,533,Visa,Debit,4415203972868492,44075,847,Yes,2,8492,43831,2020,No
242,203,Visa,Credit,4716309780327853,44743,275,Yes,1,9100,40179,2010,No
3966,203,Mastercard,Credit,5175414290540891,44652,497,No,2,2600,40725,2011,No
5375,203,Mastercard,Credit,5079431552272493,45413,813,No,1,7300,37561,2010,No
5166,1738,Visa,Credit,4841586209388617,44044,207,Yes,1,15000,40087,2009,No
1472,1738,Mastercard,Credit,5133341979041600,45383,497,Yes,2,18700,43862,2020,No
751,1738,Visa,Debit,4044685132149960,44317,579,Yes,1,21458,43831,2020,No
5623,1738,Visa,Credit,4825181289428263,43922,635,No,1,15700,40483,2014,No
6099,713,Mastercard,Debit,5533057740649374,43831,13,Yes,2,20765,41974,2014,No
1473,713,Mastercard,Debit,5137811039972629,44713,170,No,2,18101,43862,2020,No
1775,713,Visa,Credit,4409545480052957,45597,528,Yes,1,8400,43862,2020,No
447,713,Mastercard,Debit,5169705466479218,43891,66,Yes,1,1737,43831,2020,No
1474,1631,Mastercard,Credit,5782138554730431,43862,217,Yes,2,20900,43862,2020,No
1776,1631,Visa,Credit,4450097042295695,44501,601,Yes,1,23700,43862,2020,No
448,1631,Mastercard,Credit,5298079382002761,44501,989,Yes,1,17500,43831,2020,No
5978,1487,Visa,Debit,4911894810892317,45444,769,Yes,1,26083,40148,2009,No
2978,1487,Visa,Debit,4394014058373538,44835,943,Yes,1,31589,39569,2008,No
4946,1487,Visa,Credit,4984110253172329,44348,453,Yes,2,24200,36800,2013,No
1475,1265,Mastercard,Debit,5658875071888530,43862,190,Yes,2,18321,43862,2020,No
5376,370,Mastercard,Debit,5377126168537132,44835,94,Yes,2,7551,37561,2010,No
4127,370,Mastercard,Debit,5606824501502078,41791,451,Yes,1,15377,38200,2011,No
5093,370,Visa,Debit,4501704511432206,44986,324,Yes,1,12990,39356,2016,No
3490,370,Visa,Debit,4015096339812707,44958,494,Yes,1,8509,40330,2010,No
5702,1014,Visa,Debit,4467199760802877,41944,176,Yes,1,96907,41944,2014,No
2200,1014,Visa,Credit,4081474027835147,42186,45,Yes,1,43900,39508,2013,No
5436,1014,Visa,Debit (Prepaid),4868297041449163,44105,440,Yes,2,76,38657,2007,No
449,290,Mastercard,Debit,5843714671989158,43831,533,Yes,2,50915,43831,2020,No
1777,290,Visa,Debit,4052306795072868,44531,369,Yes,2,31767,43862,2020,No
3862,985,Visa,Credit,4229889369220690,45383,82,Yes,2,13200,39630,2010,No
1268,985,Mastercard,Credit,5936949471946678,44835,372,Yes,2,16000,40575,2012,No
752,985,Visa,Debit,4748458102584203,45474,223,Yes,2,18132,43831,2020,No
2704,985,Visa,Credit,4862788591864799,43497,466,Yes,1,300,41000,2012,No
2808,135,Mastercard,Debit,5736838327060448,44866,714,Yes,2,2236,36647,2015,No
4791,135,Visa,Debit,4528854599819268,43678,451,Yes,2,21591,40422,2010,No
1476,307,Mastercard,Debit,5956798767354537,43922,927,Yes,2,11521,43862,2020,No
753,307,Visa,Credit,4949830998579625,43983,561,No,1,8600,43831,2020,No
4112,1783,Amex,Credit,323782494048404,43891,659,Yes,1,9800,37834,2010,No
1154,1783,Visa,Credit,4172882144788973,40969,902,Yes,2,11300,39479,2009,No
2598,1783,Mastercard,Credit,5153494647482349,43739,492,Yes,1,8400,39904,2011,No
10,1783,Mastercard,Debit,5513208341097350,45261,789,Yes,1,16597,36161,2009,No
4655,1783,Amex,Credit,316138720673532,44075,876,Yes,2,9400,39692,2008,No
5908,1321,Visa,Debit,4709941855155413,39783,122,Yes,1,18702,39417,2007,No
3357,1511,Visa,Debit,4725438629956463,44713,675,Yes,1,24806,39234,2007,No
5502,1511,Visa,Debit,4992990568824247,45047,457,Yes,1,19856,39387,2011,No
1238,900,Visa,Debit (Prepaid),4580252759299284,44228,397,Yes,2,68,40210,2010,No
3412,900,Amex,Credit,347103137777594,44896,791,Yes,2,4900,39965,2009,No
1477,953,Mastercard,Debit,5779387577644606,44593,421,Yes,1,13390,43862,2020,No
1396,953,Amex,Credit,343258769247986,45597,210,Yes,3,8400,43862,2020,No
1297,233,Amex,Credit,374396421501669,45352,659,Yes,2,13700,40940,2012,No
3605,406,Discover,Credit,6308795344040919,45597,205,Yes,2,4200,42522,2016,No
5167,1069,Visa,Debit,4439832703761219,44044,424,Yes,2,2292,40087,2015,No
3922,1069,Amex,Credit,304372446656131,44256,495,Yes,1,8800,40360,2010,No
5453,180,Mastercard,Credit,5881384408371205,44986,312,No,2,7600,39022,2009,No
2888,180,Visa,Credit,4966727954053977,44501,756,Yes,2,6200,38473,2018,No
3208,996,Mastercard,Credit,5784959743819578,45108,348,Yes,1,12900,36312,2011,No
4661,996,Mastercard,Debit,5617375085275816,44713,228,Yes,2,18820,39692,2015,No
3277,996,Visa,Debit,4813292561037475,38534,979,Yes,2,16167,38139,2009,No
1107,996,Mastercard,Credit,5659042637826477,45078,857,Yes,2,4200,39114,2011,No
3310,996,Mastercard,Debit,5691123059106648,45505,190,Yes,2,18861,38869,2011,No
1279,996,Visa,Debit,4803335286454198,43862,568,No,1,27231,40575,2011,No
1778,1866,Visa,Debit,4274334344737347,45627,174,Yes,1,24390,43862,2020,No
1478,1866,Mastercard,Debit,5073514573038606,44958,802,Yes,1,3106,43862,2020,No
2108,1981,Mastercard,Debit,5550999995379539,44013,980,Yes,2,13595,38777,2010,No
5143,1981,Discover,Credit,6616646974839947,40118,72,No,2,12300,40087,2009,No
4151,1981,Mastercard,Credit,5384097503885721,43497,704,Yes,2,12300,38565,2009,No
3606,1981,Mastercard,Debit,5082019741631139,44287,459,Yes,1,20743,42522,2016,No
3248,1981,Mastercard,Debit,5843429452249829,44409,570,Yes,2,17706,37773,2010,No
2996,1981,Mastercard,Debit,5898198294277172,44774,332,Yes,2,20962,39934,2009,No
4,1981,Mastercard,Debit,5433366978583845,45352,530,Yes,2,19439,35431,2007,No
3257,870,Visa,Debit,4073664438482773,44621,973,No,1,30160,37773,2017,No
3626,870,Amex,Credit,349088998842560,44713,652,Yes,2,0,43252,2018,No
1039,870,Visa,Debit,4701143570043786,41214,807,No,1,28937,38018,2008,No
2080,16,Mastercard,Debit (Prepaid),5151149006132572,43952,636,No,2,22,38412,2011,No
49,16,Mastercard,Debit,5289860104321083,42217,59,Yes,2,1575,37987,2005,No
4964,16,Mastercard,Debit,5496658602251095,44166,962,Yes,2,7562,37530,2011,No
4093,16,Mastercard,Debit,5571413073625472,45413,741,Yes,2,17211,36373,2013,No
2979,16,Visa,Credit,4255418851751854,40330,361,No,2,9500,39569,2010,No
3513,46,Mastercard,Debit,5718393085724653,44866,117,Yes,2,24191,40695,2011,No
3732,46,Mastercard,Debit (Prepaid),5358119472579247,44986,129,Yes,2,68,38534,2006,No
2925,46,Mastercard,Debit,5615933957470022,43862,432,Yes,2,8037,39203,2010,No
1167,46,Mastercard,Debit (Prepaid),5310685272979011,43132,830,Yes,2,97,39845,2015,No
450,800,Mastercard,Debit,5198251438400161,44317,789,Yes,1,15555,43831,2020,No
2759,800,Mastercard,Debit,5306340091674907,42491,523,Yes,1,18242,42461,2016,No
1779,800,Visa,Debit (Prepaid),4338828980282998,44531,148,Yes,2,62,43862,2020,No
754,800,Visa,Debit,4430018858326722,44896,451,No,1,16715,43831,2020,No
1479,1968,Mastercard,Debit (Prepaid),5439358068470043,43862,309,Yes,1,46,43862,2020,No
1298,697,Mastercard,Debit,5139001522381220,44287,740,Yes,2,20195,40940,2012,No
3640,697,Mastercard,Debit,5420521698473433,43647,257,Yes,2,39818,43617,2019,No
3074,697,Visa,Debit,4873407892539448,43344,423,Yes,2,33736,40299,2010,No
4239,1269,Mastercard,Debit,5205177909482379,40848,911,Yes,2,17850,39661,2008,No
4147,1269,Amex,Credit,324624221959001,44228,846,Yes,2,11300,38565,2008,No
3075,1782,Visa,Debit,4853013168432421,42248,554,No,2,1981,40299,2014,No
4289,1782,Mastercard,Debit,5770027992115355,45474,811,Yes,1,15695,40026,2010,No
2172,1782,Mastercard,Debit,5305462513282842,41791,605,Yes,2,23475,39508,2011,No
5366,1977,Mastercard,Credit,5656749855983523,42887,315,Yes,1,12900,37196,2011,No
